delivery_id,order_id,driver_id,delivery_distance_km,preparation_time_minutes,traffic_condition,weather,delivery_time_minutes,tip_amount
DL02124,O02124,D0270,8.78,25,Medium,Cloudy,76.5,228.17
DL02125,O02125,D0497,8.74,25,Low,Cloudy,66.8,112.27
DL02126,O02126,D0154,6.07,33,Low,Clear,68.4,66.33
DL02127,O02127,D0070,10.99,26,Low,Clear,60.8,59.26
DL02128,O02128,D0267,1.47,36,Medium,Clear,65.8,7.2
DL02129,O02129,D0002,6.84,18,Medium,Rainy,74.8,165.96
DL02130,O02130,D0281,7.08,29,Low,Rainy,78.0,87.38
DL02131,O02131,D0250,2.74,33,Medium,Clear,61.0,6.48
DL02132,O02132,D0451,1.21,30,High,Rainy,67.4,91.14
DL02133,O02133,D0250,8.48,26,Low,Clear,66.4,136.37
DL02134,O02134,D0445,5.13,40,Medium,Clear,68.4,4.91
DL02135,O02135,D0168,14.05,23,Medium,Clear,82.4,33.99
DL02136,O02136,D0414,10.88,22,Low,Cloudy,75.0,64.64
DL02137,O02137,D0009,2.23,38,Medium,Clear,57.8,25.35
DL02138,O02138,D0414,10.18,42,Medium,Clear,89.8,183.32
DL02139,O02139,D0490,13.25,30,Medium,Rainy,112.4,99.55
DL02140,O02140,D0405,14.4,15,High,Rainy,102.7,24.77
DL02141,O02141,D0342,5.38,24,Medium,Clear,60.8,122.41
DL02142,O02142,D0301,7.13,23,Medium,Cloudy,67.2,95.66
DL02143,O02143,D0140,10.03,41,Medium,Clear,88.6,66.88
DL02144,O02144,D0042,13.73,18,High,Clear,93.4,126.66
DL02145,O02145,D0124,10.46,19,Medium,Clear,66.9,3.89
DL02146,O02146,D0181,6.38,28,Medium,Clear,67.5,130.58
DL02147,O02147,D0158,2.26,12,Medium,Clear,46.7,68.43
DL02148,O02148,D0302,3.02,41,Medium,Clear,68.0,212.51
DL02149,O02149,D0070,8.67,10,Medium,Clear,50.0,157.79
DL02150,O02150,D0347,4.34,25,High,Clear,73.6,178.65
DL02151,O02151,D0226,7.29,41,High,Clear,98.6,47.99
DL02152,O02152,D0463,6.7,11,Medium,Clear,44.6,170.52
DL02153,O02153,D0060,8.99,28,High,Rainy,105.1,105.84
DL02154,O02154,D0121,5.67,24,High,Clear,75.8,71.53
DL02155,O02155,D0055,7.45,14,High,Cloudy,58.7,20.1
DL02156,O02156,D0310,9.15,23,Low,Clear,61.0,104.27
DL02157,O02157,D0414,9.32,14,Low,Clear,53.6,161.75
DL02158,O02158,D0335,7.55,20,Medium,Clear,64.5,18.53
DL02159,O02159,D0255,11.0,36,Medium,Rainy,113.0,89.71
DL02160,O02160,D0059,6.46,16,Medium,Clear,60.3,129.3
DL02161,O02161,D0036,12.03,11,Medium,Rainy,85.1,59.06
DL02162,O02162,D0058,14.78,32,Medium,Cloudy,100.7,16.35
DL02163,O02163,D0313,11.63,30,Medium,Rainy,111.6,95.71
DL02164,O02164,D0107,11.92,32,Medium,Rainy,105.1,112.59
DL02165,O02165,D0093,13.21,10,Low,Rainy,76.0,33.17
DL02166,O02166,D0391,2.45,38,High,Clear,68.3,39.77
DL02167,O02167,D0463,8.86,44,Medium,Clear,88.8,250.13
DL02168,O02168,D0308,10.41,44,Low,Clear,83.9,67.7
DL02169,O02169,D0307,13.81,27,Medium,Cloudy,99.5,124.64
DL02170,O02170,D0093,12.67,42,Medium,Cloudy,105.3,122.83
DL02171,O02171,D0014,6.45,15,Medium,Clear,51.5,18.18
DL02172,O02172,D0202,5.37,19,Medium,Cloudy,61.8,174.23
DL02173,O02173,D0408,5.15,37,Low,Clear,69.7,250.88
DL02174,O02174,D0422,4.5,21,Medium,Clear,62.3,149.15
DL02175,O02175,D0258,5.33,13,Medium,Cloudy,55.6,18.99
DL02176,O02176,D0199,11.28,34,Low,Rainy,89.7,60.43
DL02177,O02177,D0120,2.62,16,High,Cloudy,55.3,21.52
DL02178,O02178,D0373,11.29,29,Medium,Rainy,97.2,70.42
DL02179,O02179,D0291,3.72,32,High,Rainy,86.9,60.04
DL02180,O02180,D0220,9.74,17,Medium,Clear,64.6,207.62
DL02181,O02181,D0168,9.34,26,Medium,Clear,77.8,157.19
DL02182,O02182,D0178,9.3,38,High,Clear,99.6,7.99
DL02183,O02183,D0154,5.35,44,Medium,Rainy,95.2,197.16
DL02184,O02184,D0352,3.1,35,Medium,Clear,60.0,41.65
DL02185,O02185,D0143,12.09,19,Low,Clear,70.8,128.74
DL02186,O02186,D0363,4.39,20,Low,Clear,48.9,67.06
DL02187,O02187,D0470,2.11,24,Medium,Clear,46.3,82.73
DL02188,O02188,D0215,3.22,27,Medium,Clear,65.7,9.95
DL02189,O02189,D0138,2.6,13,Medium,Clear,44.6,55.72
DL02190,O02190,D0473,11.01,36,High,Cloudy,103.2,32.66
DL02191,O02191,D0245,11.43,14,High,Clear,77.1,74.04
DL02192,O02192,D0283,5.73,15,Low,Rainy,58.1,21.98
DL02193,O02193,D0241,11.71,19,Medium,Cloudy,83.7,177.93
DL02194,O02194,D0410,12.74,28,Medium,Rainy,111.7,31.2
DL02195,O02195,D0146,7.68,21,Low,Clear,54.1,189.73
DL02196,O02196,D0449,12.58,33,Medium,Clear,91.2,192.6
DL02197,O02197,D0450,8.06,25,High,Clear,86.1,64.66
DL02198,O02198,D0288,12.33,18,Low,Rainy,84.2,84.45
DL02199,O02199,D0229,7.18,22,Medium,Clear,67.7,34.51
DL02200,O02200,D0351,1.83,27,Medium,Rainy,74.3,31.35
DL02201,O02201,D0106,4.08,41,Medium,Rainy,91.8,30.16
DL02202,O02202,D0460,5.25,28,High,Clear,78.1,12.43
DL02203,O02203,D0077,7.17,30,Medium,Clear,67.1,211.5
DL02204,O02204,D0240,7.64,30,Medium,Cloudy,76.4,22.69
DL02205,O02205,D0059,14.66,15,Low,Cloudy,75.2,249.37
DL02206,O02206,D0319,7.65,11,Low,Cloudy,41.9,126.31
DL02207,O02207,D0349,6.2,15,Medium,Clear,50.4,39.03
DL02208,O02208,D0187,6.05,26,Medium,Cloudy,72.4,10.22
DL02209,O02209,D0387,13.4,39,Medium,Clear,92.5,9.81
DL02210,O02210,D0253,6.39,20,Medium,Clear,66.6,22.14
DL02211,O02211,D0324,11.99,34,Low,Clear,77.3,124.47
DL02212,O02212,D0400,4.49,44,Medium,Rainy,93.2,31.56
DL02213,O02213,D0319,7.0,18,Low,Clear,48.4,28.34
DL02214,O02214,D0266,9.03,34,Medium,Clear,81.8,65.24
DL02215,O02215,D0014,8.9,17,High,Clear,71.7,19.98
DL02216,O02216,D0245,9.11,12,Medium,Rainy,80.7,14.15
DL02217,O02217,D0179,11.38,35,Low,Clear,81.3,49.18
DL02218,O02218,D0101,8.14,31,Medium,Clear,68.5,80.42
DL02219,O02219,D0083,3.57,33,Medium,Rainy,83.3,73.79
DL02220,O02220,D0427,9.14,30,High,Clear,86.9,97.01
DL02221,O02221,D0113,5.17,25,High,Cloudy,80.9,85.81
DL02222,O02222,D0094,5.21,19,Medium,Clear,57.1,220.3
DL02223,O02223,D0231,2.8,11,Low,Clear,29.2,14.66
DL02224,O02224,D0452,13.74,42,Low,Clear,90.3,74.7
DL02225,O02225,D0495,1.91,36,Low,Rainy,62.1,26.02
DL02226,O02226,D0318,1.53,26,Low,Clear,38.2,176.64
DL02227,O02227,D0376,11.15,20,High,Clear,80.2,38.54
DL02228,O02228,D0100,10.87,18,Medium,Rainy,76.7,43.69
DL02229,O02229,D0240,5.91,19,Medium,Rainy,70.0,190.8
DL02230,O02230,D0318,11.37,20,Medium,Clear,74.2,100.43
DL02231,O02231,D0160,7.83,24,High,Clear,80.8,100.99
DL02232,O02232,D0091,11.2,11,Low,Clear,57.5,36.07
DL02233,O02233,D0279,8.64,26,Medium,Cloudy,73.0,37.3
DL02234,O02234,D0467,11.25,20,Medium,Clear,80.9,106.9
DL02235,O02235,D0034,11.82,41,Medium,Cloudy,104.5,28.66
DL02236,O02236,D0203,4.97,14,Medium,Clear,48.5,16.65
DL02237,O02237,D0403,6.39,27,Medium,Clear,70.9,31.22
DL02238,O02238,D0279,8.06,11,High,Cloudy,69.8,95.42
DL02239,O02239,D0494,3.67,36,Medium,Cloudy,80.6,134.54
DL02240,O02240,D0300,14.58,17,Low,Cloudy,82.4,105.68
DL02241,O02241,D0435,13.94,37,Medium,Cloudy,100.6,49.79
DL02242,O02242,D0106,11.88,37,High,Clear,107.2,158.67
DL02243,O02243,D0168,3.78,14,High,Cloudy,55.9,200.68
DL02244,O02244,D0184,7.34,39,Low,Rainy,86.3,81.54
DL02245,O02245,D0497,13.98,36,Medium,Clear,101.8,183.45
DL02246,O02246,D0375,9.57,36,Medium,Clear,85.4,25.55
DL02247,O02247,D0200,6.4,34,Medium,Cloudy,78.7,30.41
DL02248,O02248,D0393,2.28,36,High,Clear,79.1,116.91
DL02249,O02249,D0376,2.4,21,Low,Clear,45.4,97.54
DL02250,O02250,D0014,10.5,13,Medium,Rainy,83.3,29.23
DL02251,O02251,D0239,5.36,43,High,Clear,82.9,15.25
DL02252,O02252,D0240,7.95,33,Medium,Rainy,86.4,69.89
DL02253,O02253,D0314,11.52,26,Low,Clear,68.4,69.48
DL02254,O02254,D0246,3.56,41,High,Clear,84.0,89.33
DL02255,O02255,D0063,2.09,21,Medium,Rainy,64.8,91.64
DL02256,O02256,D0232,6.27,15,Medium,Clear,46.6,51.59
DL02257,O02257,D0483,3.27,41,Medium,Rainy,80.8,249.8
DL02258,O02258,D0290,8.14,11,Medium,Clear,54.0,119.63
DL02259,O02259,D0449,8.74,25,Medium,Rainy,86.1,9.09
DL02260,O02260,D0160,2.55,36,Medium,Rainy,80.4,37.66
DL02261,O02261,D0136,12.1,13,Medium,Clear,72.8,60.62
DL02262,O02262,D0023,1.33,37,Low,Cloudy,60.8,36.96
DL02263,O02263,D0416,5.82,25,Low,Cloudy,54.5,132.1
DL02264,O02264,D0294,1.66,32,Low,Rainy,60.8,91.58
DL02265,O02265,D0380,10.9,19,Low,Clear,59.1,96.87
DL02266,O02266,D0235,13.3,27,Low,Rainy,92.9,39.97
DL02267,O02267,D0227,5.87,44,Low,Clear,68.3,32.8
DL02268,O02268,D0366,5.59,13,Medium,Cloudy,53.0,11.05
DL02269,O02269,D0022,10.72,30,Medium,Clear,90.6,173.72
DL02270,O02270,D0357,13.2,35,High,Clear,108.1,91.09
DL02271,O02271,D0411,13.42,25,Medium,Clear,88.1,47.4
DL02272,O02272,D0213,9.18,28,Low,Clear,65.2,184.24
DL02273,O02273,D0445,9.32,30,Medium,Clear,83.3,258.97
DL02274,O02274,D0180,9.67,44,Medium,Clear,94.3,71.08
DL02275,O02275,D0157,8.11,30,Medium,Rainy,92.0,14.32
DL02276,O02276,D0141,8.43,30,Medium,Clear,82.6,37.71
DL02277,O02277,D0373,2.33,22,High,Clear,57.3,100.55
DL02278,O02278,D0229,14.76,10,Low,Rainy,73.4,94.28
DL02279,O02279,D0421,1.87,44,Medium,Clear,73.6,187.86
DL02280,O02280,D0170,7.73,42,High,Clear,92.9,23.68
DL02281,O02281,D0429,12.0,18,High,Cloudy,91.2,27.89
DL02282,O02282,D0126,9.16,40,Low,Clear,78.9,118.11
DL02283,O02283,D0042,2.35,31,High,Clear,74.3,60.34
DL02284,O02284,D0104,8.78,15,Low,Clear,48.6,32.31
DL02285,O02285,D0418,13.67,36,High,Clear,109.5,58.5
DL02286,O02286,D0162,9.71,32,Low,Cloudy,78.0,26.01
DL02287,O02287,D0374,11.91,39,Low,Clear,90.0,48.55
DL02288,O02288,D0243,7.47,12,Low,Cloudy,43.3,13.16
DL02289,O02289,D0074,5.37,29,Medium,Cloudy,74.7,100.11
DL02290,O02290,D0463,3.8,31,Medium,Clear,71.3,120.29
DL02291,O02291,D0155,12.89,30,Medium,Clear,88.2,111.37
DL02292,O02292,D0080,10.89,24,Medium,Clear,79.1,32.08
DL02293,O02293,D0362,3.49,24,Medium,Cloudy,55.9,28.77
DL02294,O02294,D0170,8.72,24,High,Rainy,94.4,164.77
DL02295,O02295,D0282,10.94,14,Low,Clear,64.9,63.17
DL02296,O02296,D0308,8.95,29,Low,Rainy,89.1,29.81
DL02297,O02297,D0155,14.29,31,Medium,Clear,97.4,101.65
DL02298,O02298,D0435,3.59,37,Medium,Rainy,81.4,84.87
DL02299,O02299,D0196,11.0,36,Low,Rainy,93.3,133.06
DL02300,O02300,D0317,9.63,22,High,Clear,74.7,111.43
DL02301,O02301,D0418,13.86,23,Low,Clear,68.1,176.43
DL02302,O02302,D0105,13.08,19,Medium,Clear,80.2,67.43
DL02303,O02303,D0459,10.08,19,Low,Clear,58.3,86.57
DL02304,O02304,D0003,7.1,28,High,Cloudy,90.9,40.64
DL02305,O02305,D0487,3.3,36,Low,Cloudy,48.4,38.95
DL02306,O02306,D0153,12.24,33,Medium,Cloudy,97.8,65.22
DL02307,O02307,D0153,12.54,10,High,Clear,83.7,71.29
DL02308,O02308,D0358,6.07,36,Low,Clear,66.3,23.92
DL02309,O02309,D0193,4.17,17,Low,Rainy,48.2,133.95
DL02310,O02310,D0256,14.04,26,Medium,Clear,82.8,20.54
DL02311,O02311,D0460,7.56,37,Medium,Rainy,91.1,113.38
DL02312,O02312,D0378,11.31,36,Medium,Clear,86.5,58.66
DL02313,O02313,D0466,9.7,42,Medium,Clear,88.8,38.6
DL02314,O02314,D0233,10.79,33,High,Clear,91.5,59.82
DL02315,O02315,D0293,1.26,10,Medium,Clear,32.8,101.99
DL02316,O02316,D0378,9.77,17,Low,Clear,56.3,64.05
DL02317,O02317,D0269,8.7,11,High,Clear,69.9,68.85
DL02318,O02318,D0082,11.55,27,Low,Clear,69.6,71.2
DL02319,O02319,D0143,14.13,24,Medium,Clear,78.1,134.06
DL02320,O02320,D0495,12.62,13,Low,Clear,63.0,22.82
DL02321,O02321,D0134,7.19,24,High,Cloudy,74.2,52.46
DL02322,O02322,D0295,9.34,35,Medium,Cloudy,87.2,122.92
DL02323,O02323,D0141,4.34,22,Medium,Rainy,66.2,152.79
DL02324,O02324,D0076,1.03,19,Medium,Clear,43.0,69.01
DL02325,O02325,D0378,3.03,43,High,Rainy,94.4,188.24
DL02326,O02326,D0074,2.01,36,High,Clear,83.9,252.77
DL02327,O02327,D0123,11.5,36,Medium,Clear,93.7,85.17
DL02328,O02328,D0154,3.63,33,Medium,Cloudy,66.6,190.98
DL02329,O02329,D0411,2.56,40,Low,Clear,50.7,51.84
DL02330,O02330,D0022,4.99,19,Medium,Clear,57.9,23.29
DL02331,O02331,D0097,14.07,22,Low,Clear,70.0,134.72
DL02332,O02332,D0107,4.85,28,Medium,Cloudy,57.1,108.11
DL02333,O02333,D0080,10.2,12,Medium,Clear,59.8,77.81
DL02334,O02334,D0193,12.67,24,Low,Clear,70.3,199.99
DL02335,O02335,D0498,12.6,18,Low,Rainy,80.5,110.53
DL02336,O02336,D0043,14.21,12,High,Clear,94.0,188.18
DL02337,O02337,D0233,6.07,13,Medium,Clear,52.5,103.82
DL02338,O02338,D0238,7.83,38,Medium,Clear,82.4,37.98
DL02339,O02339,D0171,4.33,38,Medium,Clear,72.6,132.72
DL02340,O02340,D0065,1.91,40,Medium,Clear,64.6,121.49
DL02341,O02341,D0267,14.69,31,High,Rainy,119.9,77.16
DL02342,O02342,D0126,13.13,27,Low,Clear,76.7,20.53
DL02343,O02343,D0233,5.41,11,High,Cloudy,60.0,74.68
DL02344,O02344,D0342,12.06,44,Medium,Clear,103.7,261.05
DL02345,O02345,D0093,12.62,21,High,Clear,89.2,31.78
DL02346,O02346,D0034,4.43,31,High,Clear,76.6,78.02
DL02347,O02347,D0490,14.07,35,Medium,Clear,92.6,23.1
DL02348,O02348,D0067,5.49,34,High,Clear,81.0,134.83
DL02349,O02349,D0223,8.95,41,Medium,Clear,94.0,130.16
DL02350,O02350,D0249,12.17,18,Low,Cloudy,70.2,22.89
DL02351,O02351,D0461,9.26,19,High,Cloudy,91.2,159.93
DL02352,O02352,D0314,4.63,44,Low,Cloudy,77.9,25.48
DL02353,O02353,D0267,14.06,41,Medium,Clear,104.7,166.21
DL02354,O02354,D0050,1.05,12,Medium,Clear,35.9,102.8
DL02355,O02355,D0110,8.35,39,Medium,Rainy,96.2,47.36
DL02356,O02356,D0357,1.63,44,High,Clear,88.0,11.46
DL02357,O02357,D0200,10.17,14,Low,Clear,61.2,87.24
DL02358,O02358,D0266,1.59,39,Medium,Clear,66.8,134.23
DL02359,O02359,D0358,1.79,10,Medium,Clear,30.5,89.32
DL02360,O02360,D0463,7.9,18,High,Clear,72.4,102.22
DL02361,O02361,D0008,10.63,13,Low,Clear,61.1,84.8
DL02362,O02362,D0448,6.89,29,Low,Cloudy,74.5,17.26
DL02363,O02363,D0158,13.8,33,Low,Clear,98.7,20.06
DL02364,O02364,D0164,13.98,22,High,Clear,94.0,44.7
DL02365,O02365,D0030,7.28,22,Low,Rainy,74.3,52.36
DL02366,O02366,D0440,9.43,28,Medium,Clear,73.4,83.0
DL02367,O02367,D0095,14.71,26,High,Cloudy,103.1,206.33
DL02368,O02368,D0361,12.5,29,Low,Clear,68.8,44.36
DL02369,O02369,D0453,2.88,24,High,Rainy,80.2,43.48
DL02370,O02370,D0403,2.0,42,Low,Cloudy,71.6,62.26
DL02371,O02371,D0049,8.97,38,High,Clear,94.8,80.76
DL02372,O02372,D0226,12.8,17,High,Rainy,94.9,41.52
DL02373,O02373,D0077,11.6,30,Medium,Cloudy,89.0,44.98
DL02374,O02374,D0113,9.77,19,Medium,Clear,68.8,24.49
DL02375,O02375,D0250,12.69,10,Medium,Rainy,83.3,49.99
DL02376,O02376,D0446,2.82,41,Medium,Clear,75.4,205.52
DL02377,O02377,D0445,7.59,33,Medium,Clear,88.6,119.83
DL02378,O02378,D0409,12.05,23,High,Rainy,109.8,71.9
DL02379,O02379,D0462,3.24,37,Low,Cloudy,58.5,173.34
DL02380,O02380,D0395,6.23,36,High,Clear,77.8,49.26
DL02381,O02381,D0030,7.43,24,Low,Clear,51.2,89.89
DL02382,O02382,D0071,2.05,34,Medium,Clear,68.3,87.36
DL02383,O02383,D0250,1.32,10,Low,Clear,21.6,200.43
DL02384,O02384,D0194,8.11,13,High,Clear,64.8,100.5
DL02385,O02385,D0291,13.7,36,Medium,Clear,105.2,157.95
DL02386,O02386,D0427,2.44,40,Medium,Cloudy,63.6,250.63
DL02387,O02387,D0451,2.81,29,Low,Clear,45.8,109.19
DL02388,O02388,D0481,1.81,33,Medium,Clear,59.7,161.82
DL02389,O02389,D0435,6.07,26,Low,Clear,64.7,24.77
DL02390,O02390,D0046,6.52,39,Low,Rainy,90.9,161.84
DL02391,O02391,D0190,14.77,16,Low,Clear,74.2,188.63
DL02392,O02392,D0252,12.52,42,High,Clear,115.2,89.81
DL02393,O02393,D0446,6.12,13,Medium,Clear,49.7,35.99
DL02394,O02394,D0032,6.33,17,Medium,Cloudy,61.7,10.18
DL02395,O02395,D0401,6.83,11,High,Clear,56.9,58.95
DL02396,O02396,D0499,9.26,38,Medium,Rainy,99.5,25.58
DL02397,O02397,D0435,13.27,43,Medium,Cloudy,106.6,172.9
DL02398,O02398,D0156,4.21,26,Medium,Clear,62.2,45.59
DL02399,O02399,D0085,4.44,29,Low,Cloudy,55.5,16.94
DL02400,O02400,D0256,14.87,38,Medium,Clear,106.4,139.99
DL02401,O02401,D0307,7.85,15,High,Clear,73.9,202.49
DL02402,O02402,D0019,10.58,29,High,Clear,96.1,86.9
DL02403,O02403,D0353,12.32,36,Medium,Rainy,107.2,164.46
DL02404,O02404,D0185,7.85,15,Low,Clear,43.0,116.49
DL02405,O02405,D0331,1.23,15,Medium,Cloudy,45.3,47.59
DL02406,O02406,D0225,11.5,16,Low,Rainy,85.3,22.84
DL02407,O02407,D0471,9.16,15,Low,Cloudy,57.4,103.28
DL02408,O02408,D0135,13.29,43,Low,Clear,95.6,164.45
DL02409,O02409,D0392,12.21,10,Low,Cloudy,61.9,166.22
DL02410,O02410,D0158,6.53,39,Low,Clear,68.9,267.15
DL02411,O02411,D0263,1.6,31,Medium,Cloudy,68.7,121.75
DL02412,O02412,D0239,8.7,26,Low,Clear,63.3,31.42
DL02413,O02413,D0058,14.74,29,Low,Clear,80.2,189.17
DL02414,O02414,D0240,3.4,41,Low,Cloudy,68.2,116.02
DL02415,O02415,D0086,8.1,41,Medium,Clear,89.8,104.49
DL02416,O02416,D0027,2.68,15,Medium,Clear,47.7,79.19
DL02417,O02417,D0040,14.15,15,Medium,Rainy,86.7,96.01
DL02418,O02418,D0234,12.58,17,High,Rainy,98.6,57.02
DL02419,O02419,D0356,8.52,20,High,Cloudy,88.7,65.51
DL02420,O02420,D0109,9.94,38,Medium,Rainy,101.2,93.5
DL02421,O02421,D0420,10.04,42,High,Rainy,115.6,76.37
DL02422,O02422,D0019,14.35,10,Low,Rainy,82.5,119.49
DL02423,O02423,D0125,14.59,36,Low,Clear,84.4,168.7
DL02424,O02424,D0091,10.31,17,Medium,Clear,65.0,8.41
DL02425,O02425,D0440,5.12,22,Low,Clear,40.9,16.96
DL02426,O02426,D0070,9.95,38,Medium,Rainy,99.5,21.58
DL02427,O02427,D0336,8.78,35,Medium,Rainy,98.9,79.88
DL02428,O02428,D0024,12.05,35,Low,Cloudy,76.0,146.42
DL02429,O02429,D0254,13.08,41,Low,Clear,98.2,201.27
DL02430,O02430,D0152,9.93,33,Medium,Clear,85.0,135.9
DL02431,O02431,D0158,8.24,12,Low,Clear,44.3,33.47
DL02432,O02432,D0167,13.0,22,Medium,Cloudy,78.8,108.71
DL02433,O02433,D0173,7.25,20,High,Rainy,85.5,46.15
DL02434,O02434,D0099,7.68,14,Medium,Clear,61.9,104.28
DL02435,O02435,D0245,1.24,10,Medium,Cloudy,42.5,146.54
DL02436,O02436,D0242,2.01,43,Medium,Rainy,90.3,95.27
DL02437,O02437,D0177,7.01,41,Medium,Clear,85.3,29.32
DL02438,O02438,D0163,1.11,22,Medium,Rainy,64.0,30.34
DL02439,O02439,D0148,3.85,26,Medium,Cloudy,66.5,50.51
DL02440,O02440,D0292,10.51,11,High,Cloudy,78.2,17.0
DL02441,O02441,D0459,9.8,30,High,Cloudy,96.7,221.87
DL02442,O02442,D0370,8.94,30,Medium,Clear,70.4,37.69
DL02443,O02443,D0147,12.55,15,Medium,Cloudy,75.3,91.35
DL02444,O02444,D0168,6.06,39,Medium,Clear,77.7,20.47
DL02445,O02445,D0109,10.24,24,Low,Clear,68.0,72.59
DL02446,O02446,D0345,10.02,24,High,Cloudy,92.3,105.22
DL02447,O02447,D0370,10.23,18,Low,Clear,55.3,223.31
DL02448,O02448,D0022,10.43,21,Low,Cloudy,69.4,78.0
DL02449,O02449,D0193,12.23,16,Medium,Clear,68.5,58.92
DL02450,O02450,D0468,9.52,33,Medium,Cloudy,88.8,36.51
DL02451,O02451,D0255,13.27,30,Medium,Rainy,106.4,38.14
DL02452,O02452,D0497,6.99,18,Medium,Clear,64.0,138.39
DL02453,O02453,D0227,14.63,41,High,Clear,120.3,57.12
DL02454,O02454,D0151,1.47,11,Medium,Clear,47.6,9.77
DL02455,O02455,D0152,2.88,16,Medium,Cloudy,39.0,28.59
DL02456,O02456,D0295,2.17,11,Medium,Rainy,48.7,47.93
DL02457,O02457,D0087,7.14,21,Medium,Clear,62.4,56.81
DL02458,O02458,D0038,9.23,24,Medium,Cloudy,88.3,91.38
DL02459,O02459,D0127,7.2,44,Medium,Clear,81.8,54.33
DL02460,O02460,D0175,3.94,15,Low,Cloudy,39.5,83.72
DL02461,O02461,D0391,4.25,16,Medium,Clear,47.6,48.33
DL02462,O02462,D0103,12.3,20,Medium,Clear,75.1,65.5
DL02463,O02463,D0428,1.75,12,Medium,Clear,38.6,151.05
DL02464,O02464,D0201,14.88,43,Medium,Clear,108.8,109.0
DL02465,O02465,D0221,11.09,40,High,Rainy,119.4,85.43
DL02466,O02466,D0169,13.9,30,Medium,Clear,92.8,48.36
DL02467,O02467,D0107,3.56,38,Low,Clear,65.4,107.95
DL02468,O02468,D0426,8.83,28,Low,Rainy,80.4,15.28
DL02469,O02469,D0074,8.41,16,Low,Clear,44.3,53.91
DL02470,O02470,D0463,9.69,20,Low,Clear,58.7,62.11
DL02471,O02471,D0048,11.89,12,Medium,Cloudy,72.5,149.46
DL02472,O02472,D0378,10.99,42,Medium,Clear,101.0,5.25
DL02473,O02473,D0072,6.5,37,High,Rainy,105.7,121.96
DL02474,O02474,D0493,13.17,41,High,Clear,115.3,23.63
DL02475,O02475,D0489,1.2,13,Medium,Rainy,55.8,4.8
DL02476,O02476,D0494,4.55,44,Medium,Clear,78.8,197.44
DL02477,O02477,D0406,8.27,26,Medium,Clear,66.6,125.36
DL02478,O02478,D0191,13.03,44,Low,Cloudy,98.3,96.87
DL02479,O02479,D0468,6.58,35,High,Clear,80.0,106.15
DL02480,O02480,D0441,11.86,26,Low,Clear,60.8,155.86
DL02481,O02481,D0338,4.71,43,High,Rainy,102.9,32.56
DL02482,O02482,D0184,14.57,17,Medium,Clear,85.6,102.72
DL02483,O02483,D0418,1.22,18,Low,Clear,27.4,17.91
DL02484,O02484,D0023,3.48,16,Medium,Cloudy,44.5,48.36
DL02485,O02485,D0028,1.31,10,Medium,Clear,38.5,39.54
DL02486,O02486,D0169,1.24,25,Low,Clear,44.5,27.42
DL02487,O02487,D0010,13.68,11,Medium,Clear,69.9,42.3
DL02488,O02488,D0308,4.86,17,Low,Clear,35.0,124.63
DL02489,O02489,D0107,4.28,31,Medium,Clear,70.1,172.2
DL02490,O02490,D0312,4.74,36,Medium,Rainy,81.7,296.9
DL02491,O02491,D0407,12.24,27,Medium,Cloudy,95.3,81.61
DL02492,O02492,D0138,5.37,25,Low,Rainy,62.7,59.34
DL02493,O02493,D0243,9.3,35,High,Rainy,111.3,118.89
DL02494,O02494,D0449,13.02,31,Medium,Clear,90.4,238.27
DL02495,O02495,D0029,5.46,10,Medium,Clear,46.6,82.07
DL02496,O02496,D0430,3.04,41,Medium,Clear,71.1,45.53
DL02497,O02497,D0041,1.94,31,High,Rainy,82.9,18.03
DL02498,O02498,D0197,8.89,36,Medium,Cloudy,89.7,59.9
DL02499,O02499,D0300,9.48,42,Low,Clear,78.5,37.31
DL02500,O02500,D0029,13.19,39,Medium,Rainy,123.5,94.46
DL02501,O02501,D0116,7.63,28,Medium,Cloudy,65.6,121.53
DL02502,O02502,D0050,13.14,42,Low,Cloudy,102.0,14.78
DL02503,O02503,D0497,8.2,34,Medium,Clear,79.7,165.62
DL02504,O02504,D0020,9.26,15,High,Clear,65.5,6.64
DL02505,O02505,D0191,8.53,38,Medium,Cloudy,92.4,68.8
DL02506,O02506,D0008,5.21,24,High,Cloudy,77.4,131.85
DL02507,O02507,D0217,12.81,21,Medium,Cloudy,91.2,138.94
DL02508,O02508,D0193,13.38,24,Low,Rainy,82.9,20.42
DL02509,O02509,D0100,12.88,40,Medium,Clear,105.1,37.66
DL02510,O02510,D0300,2.5,10,High,Clear,46.4,159.7
DL02511,O02511,D0272,10.33,29,Low,Cloudy,73.1,38.93
DL02512,O02512,D0069,7.22,38,Low,Clear,70.3,17.2
DL02513,O02513,D0434,2.37,20,Low,Clear,44.8,48.03
DL02514,O02514,D0498,1.87,18,High,Rainy,72.8,54.73
DL02515,O02515,D0115,10.77,25,Medium,Cloudy,82.4,26.59
DL02516,O02516,D0381,6.57,25,Low,Cloudy,72.5,182.81
DL02517,O02517,D0141,6.35,42,High,Clear,97.3,46.08
DL02518,O02518,D0193,3.98,28,Medium,Clear,63.3,135.9
DL02519,O02519,D0328,9.43,34,High,Rainy,107.9,166.2
DL02520,O02520,D0385,3.08,43,Medium,Cloudy,71.7,50.49
DL02521,O02521,D0020,1.06,33,Medium,Rainy,81.4,8.64
DL02522,O02522,D0103,1.2,41,Low,Clear,68.5,134.88
